iter	Passed	Remaining
458	800	942
459	800	940
460	801	937
461	802	934
462	803	931
463	804	929
464	805	927
465	806	924
466	807	921
467	808	918
468	809	916
469	810	913
470	811	911
471	812	908
472	813	905
473	813	903
474	814	900
475	815	897
476	816	895
477	817	893
478	818	890
479	819	888
480	820	885
481	821	883
482	823	881
483	824	879
484	825	876
485	826	874
486	827	871
487	828	868
488	829	866
489	830	864
490	831	861
491	832	859
492	832	856
493	833	853
494	834	851
495	836	849
496	837	847
497	837	844
498	838	842
499	839	839
500	840	837
501	842	835
502	843	832
503	844	830
504	844	828
505	845	825
506	846	823
507	847	820
508	848	818
509	849	816
510	850	813
511	851	811
512	852	808
513	853	806
514	854	804
515	855	802
516	856	799
517	856	797
518	857	794
519	858	792
520	859	790
521	860	787
522	861	785
523	862	783
524	863	781
525	863	778
526	864	776
527	865	773
528	866	771
529	867	769
530	868	766
531	868	764
532	869	762
533	870	759
534	871	757
535	872	755
536	873	753
537	874	750
538	875	748
539	875	746
540	876	743
541	877	741
542	878	739
543	879	737
544	880	735
545	881	733
546	882	730
547	882	728
548	883	726
549	884	724
550	886	722
551	887	720
552	887	717
553	888	715
554	889	713
555	891	711
556	892	709
557	893	707
558	894	705
559	894	703
560	896	701
561	897	699
562	898	697
563	899	695
564	900	693
565	900	690
566	902	689
567	903	687
568	904	685
569	905	682
570	906	680
571	906	678
572	907	676
573	909	674
574	910	672
575	911	671
576	912	669
577	924	675
578	925	672
579	926	670
580	936	675
581	938	674
582	939	672
583	941	670
584	943	668
585	944	667
586	945	665
587	946	663
588	947	661
589	948	658
590	949	656
591	950	654
592	950	652
593	951	650
594	952	648
595	953	646
596	955	644
597	955	642
598	956	640
599	957	638
600	958	636
601	959	634
602	959	631
603	961	630
604	962	628
605	963	626
606	963	624
607	964	621
608	965	619
609	966	617
610	967	615
611	968	613
612	968	611
613	969	609
614	970	607
615	971	605
616	971	603
617	972	601
618	973	599
619	981	601
620	982	599
621	983	597
622	986	597
623	988	595
624	989	593
625	990	591
626	990	589
627	991	587
628	993	585
629	993	583
630	994	581
631	995	579
632	1009	585
633	1010	583
634	1013	582
635	1014	580
636	1015	578
637	1015	576
638	1016	574
639	1028	578
640	1029	576
641	1031	575
642	1032	573
643	1033	571
644	1034	569
645	1034	567
646	1035	565
647	1036	562
648	1037	561
649	1039	559
650	1040	557
651	1040	555
652	1041	553
653	1042	551
654	1043	549
655	1044	547
656	1045	545
657	1046	544
658	1047	542
659	1048	540
660	1049	538
661	1050	536
662	1051	534
663	1052	532
664	1053	530
665	1053	528
666	1055	526
667	1057	525
668	1059	524
669	1059	522
670	1060	520
671	1062	518
672	1063	516
673	1064	514
674	1065	513
675	1066	511
676	1067	509
677	1068	507
678	1069	505
679	1070	503
680	1071	502
681	1072	500
682	1073	498
683	1075	496
684	1076	495
685	1077	493
686	1078	491
687	1079	489
688	1080	487
689	1081	485
690	1082	483
691	1082	482
692	1098	486
693	1109	489
694	1115	489
695	1117	487
696	1118	486
697	1119	484
698	1121	482
699	1122	481
700	1123	479
701	1124	477
702	1125	475
703	1126	473
704	1128	472
705	1129	470
706	1131	468
707	1134	468
708	1136	466
709	1136	464
710	1137	462
711	1138	460
712	1139	458
713	1140	456
714	1141	455
715	1142	453
716	1143	451
717	1145	449
718	1146	447
719	1147	446
720	1148	444
721	1148	442
722	1149	440
723	1150	438
724	1151	436
725	1152	435
726	1153	433
727	1154	431
728	1155	429
729	1156	427
730	1157	425
731	1158	424
732	1159	422
733	1160	420
734	1161	418
735	1161	416
736	1162	414
737	1163	413
738	1164	411
739	1164	409
740	1165	407
741	1166	405
742	1167	403
743	1167	401
744	1168	399
745	1169	398
746	1170	396
747	1171	394
748	1171	392
749	1172	390
750	1173	388
751	1173	387
752	1174	385
753	1175	383
754	1176	381
755	1177	379
756	1178	378
757	1178	376
758	1179	374
759	1180	372
760	1181	371
761	1182	369
762	1183	367
763	1184	365
764	1185	364
765	1186	362
766	1187	360
