iter	RMSE
195	714943.8251
196	712821.6006
197	710886.3321
198	709099.3869
199	707858.0792
200	706123.268
201	705221.9424
202	703316.0184
203	703102.5282
204	702031.2159
205	700808.4112
206	699729.6146
207	698666.1407
208	697256.4658
209	696804.733
210	695968.4688
211	694341.0136
212	693083.4909
213	691783.9628
214	689984.8055
215	688644.2776
216	686768.5702
217	685774.0327
218	684343.4389
219	683484.1958
220	682726.8266
221	682062.1951
222	681423.6268
223	679650.284
224	678863.3017
225	677890.8627
226	677295.5884
227	675923.5371
228	675165.5877
229	674766.1571
230	673601.2624
231	673118.6944
232	672180.5608
233	670579.2954
234	670128.5057
235	669225.6613
236	668220.989
237	667017.1368
238	666194.0206
239	664672.6773
240	664217.5962
241	662480.8649
242	661015.5487
243	660407.1255
244	660062.8945
245	658812.6157
246	657881.9205
247	657420.5574
248	656070.6043
249	654474.2728
250	653102.8156
251	651820.3415
252	651351.4589
253	651259.0681
254	650450.7522
255	649636.2473
256	649064.9985
257	648209.3505
258	647976.0634
259	646269.9342
260	645034.1489
261	644573.4315
262	643556.2343
263	643312.0449
264	642026.8242
265	641586.1803
266	639294.3708
267	639157.8492
268	638907.7387
269	638424.9399
270	637326.1241
271	636401.1252
272	635577.5203
273	634463.8309
274	634339.5808
275	633660.845
276	632428.8715
277	631469.2501
278	631037.6072
279	629707.5005
280	629634.0114
281	627815.8023
282	626851.5392
283	626657.7563
284	626167.5263
285	625003.7599
286	624600.7234
287	624092.8187
288	623779.181
289	622503.0119
290	621300.7101
291	620826.629
292	620152.0848
293	620053.7004
294	619682.2646
295	619605.06
296	619510.3149
297	617778.1822
298	616589.7568
299	616206.0763
300	614970.8338
301	614237.461
302	613970.4117
303	613233.5688
304	611436.2517
305	610143.84
306	609493.1979
307	608946.1561
308	608667.6713
309	607840.1307
310	607561.0258
311	606743.133
312	606068.5805
313	605747.8135
314	605700.2899
315	605369.1437
316	604589.8032
317	604519.7191
318	603653.4063
319	603284.2831
320	602395.5355
321	600953.3433
322	600692.6945
323	600612.2655
324	599934.5476
325	598365.4045
326	597368.9719
327	596932.1929
328	596173.028
329	595104.5611
330	593931.7341
331	592990.7174
332	592252.148
333	590533.6603
334	590232.5465
335	589812.6821
336	589771.5343
337	588369.363
338	588319.0732
339	587330.8379
340	586215.7018
341	584792.2033
342	583336.0159
343	583090.2797
344	582531.8499
345	582267.8921
346	582021.6275
347	580017.6601
348	579195.0262
349	578692.5305
350	578445.3492
351	578325.5894
352	577658.4891
353	576706.3262
354	576461.6333
355	576168.5107
356	575517.9889
357	575284.1991
358	573933.0438
359	573346.7606
360	572971.5713
361	572579.7958
362	572108.3555
363	571896.1539
364	571439.5812
365	569985.7137
366	569704.1114
367	569185.4015
368	568588.6602
369	567633.3307
370	567078.677
371	566481.9917
372	565921.817
373	565764.0213
374	565564.9774
375	564851.2302
376	563641.2616
377	563044.5097
378	562780.4432
379	562565.3294
380	561922.5404
381	561260.0049
382	560640.1791
383	559126.2665
384	557827.9017
385	557330.7207
386	555889.3283
387	555568.6389
388	555385.0928
389	555195.0858
390	555002.8164
391	554347.3379
392	554307.6501
393	554114.288
394	552444.5201
395	552255.5209
396	551656.0123
397	551592.4568
398	551399.7636
399	551226.5724
400	550881.8849
401	549627.6417
402	548753.7275
403	548720.4559
404	548247.0953
405	546765.6414
406	546346.495
407	545584.4122
408	544574.4802
409	544530.7579
410	544487.4748
411	543260.7024
412	542524.8455
413	541522.6762
414	540703.1344
415	540133.5489
416	539887.3745
417	539719.3571
418	539263.6784
419	539226.003
420	538917.9305
421	537809.668
422	536720.9485
423	535213.886
424	533850.9802
425	533238.4201
426	532478.6492
427	532029.6181
428	531985.7237
429	531419.6573
430	531259.9754
431	530341.8395
432	529154.0681
433	529129.9054
434	528112.8291
435	527412.6832
436	527133.8422
437	526959.6773
438	526769.9229
439	526533.8498
440	526251.069
441	526101.6616
442	525820.344
443	525676.1691
444	525081.224
445	523599.2322
446	523443.4188
447	522787.5105
448	522394.9012
449	521988.6738
450	521403.9995
451	520767.3044
452	520528.0462
453	520346.8286
454	519186.032
455	517857.5815
456	517315.997
457	516668.8205
458	516480.733
459	515924.5036
460	515747.6454
461	515268.2748
462	514623.959
463	513967.377
464	513774.4197
465	513019.2134
466	511955.2625
467	511522.5812
468	511102.6228
469	510602.2156
470	510437.5765
471	509605.8485
472	508768.6037
473	508163.1872
474	508118.9732
475	507663.5424
476	507375.1709
477	506762.8308
478	506589.7253
479	506241.02
480	505675.5713
481	505122.072
482	504689.1085
483	504288.9822
484	504158.7314
485	503620.7751
486	503023.2606
487	502699.5307
488	502073.8332
489	501941.8654
490	501647.9177
491	501283.771
492	500578.4795
493	499225.4073
494	498501.8663
495	498472.6583
496	497559.4395
497	497389.8944
498	496443.6473
499	495989.2958
500	494684.4836
501	494123.349
502	492817.2204
503	492688.0219
504	491684.9107
505	490755.8533
506	490449.2435
507	490077.5816
508	489576.6885
509	488776.6305
510	488503.1256
511	488264.3392
512	487771.6378
513	487473.8824
514	487443.6423
515	486547.428
516	486428.0953
517	486309.5006
518	486040.1212
519	485500.8835
520	484769.8545
521	484639.0122
522	484553.9565
523	484043.1077
524	484010.4046
525	483969.9207
526	483055.3248
527	482902.0971
528	482874.2283
529	481920.5907
530	481425.8066
531	481150.4882
532	481003.4623
533	480975.2962
534	480860.3567
535	480823.4456
536	480308.95
537	480079.8857
538	479737.8555
539	479712.7756
540	479257.7356
541	478433.5267
542	477535.7402
543	477033.83
544	476926.2616
545	476335.3005
546	475680.8603
547	475574.9755
548	475462.0509
549	475014.377
550	474145.6382
551	474124.7724
552	473864.292
553	473546.4683
554	473085.9244
555	472430.7744
556	471937.0935
557	470720.2934
558	469802.1604
559	469302.8891
560	468830.4546
561	468807.8239
562	467479.6939
563	467306.7734
564	467021.7249
565	466600.0402
566	466256.7583
567	466230.7778
568	465412.764
569	465141.3618
570	464874.4237
571	464770.1814
572	464350.2602
573	464109.2016
574	463657.8977
575	463226.1072
576	462720.6619
577	462609.0614
578	462158.144
579	461771.4004
580	461522.8983
581	461369.1188
582	461227.4974
583	460653.3025
584	460631.186
585	460447.4814
586	459624.2268
587	459525.6583
588	459289.8961
589	458561.5334
590	458087.8248
591	458063.0282
592	457550.163
593	457528.59
594	457193.505
595	457088.7718
596	456322.5724
597	456032.9469
598	455285.8007
599	454904.9915
600	453797.7894
601	453404.1055
602	453323.7951
603	452635.6638
604	451671.5974
605	451385.2934
606	451056.1024
607	450768.8159
608	450676.2665
609	450102.409
610	449694.7105
611	449600.2395
612	449298.4902
613	448926.6378
614	448707.5945
615	448682.4274
616	448656.7216
617	448634.666
618	448548.6737
619	447840.6312
620	447408.9387
621	447135.9735
622	446223.6071
623	446138.3525
624	445740.7307
625	445650.5021
626	445440.1002
627	444875.3132
628	444262.4251
629	444053.226
630	443750.3647
631	443725.8407
632	443392.6109
633	442921.9477
634	442901.1084
635	442785.0209
636	442656.2671
637	442417.4716
638	442263.1742
639	442181.9217
640	441830.8517
641	441571.6728
642	440870.5823
643	440495.2664
644	439930.044
645	439772.0947
646	439170.1841
647	438175.9729
648	437281.2711
649	436594.3662
650	436518.749
651	436248.9599
652	435929.0259
653	435231.4922
654	434949.9025
655	434399.2538
656	434147.3218
657	433972.235
658	433621.7328
659	433188.492
660	431981.5927
661	431472.6946
662	431445.3837
663	431308.9278
664	430699.6513
665	430325.6699
666	429731.1285
667	429463.2351
668	429078.0996
669	429052.7305
670	428646.6569
671	428333.0074
672	428140.2391
673	427765.9841
674	427439.1936
675	427090.5171
676	426962.1062
677	426117.7187
678	425800.4786
679	425545.1888
680	425527.5231
681	424862.7293
682	424209.9779
683	423874.5511
684	423728.6568
685	423232.9578
686	423179.3339
687	423159.048
688	422918.9703
689	422690.0363
690	422055.8574
691	421940.3874
692	421920.0112
693	421442.8886
694	421059.7799
695	420696.7407
696	420447.5047
697	420406.9384
698	419822.0177
699	419378.2921
700	418811.5283
701	418455.3137
702	417816.5344
703	417799.5323
704	417462.3253
705	417308.4243
706	417201.0805
707	416974.3636
708	416953.1932
709	416940.714
710	416863.289
711	416843.5878
712	416825.3203
713	416809.8904
714	416722.913
715	416526.7042
716	416509.7705
717	416492.527
718	415844.8537
719	415810.7825
720	414834.6553
721	414823.9487
722	414407.3467
723	413825.6982
724	413742.0802
725	413353.6372
726	412863.1857
727	412418.2655
728	412332.2567
729	412020.4601
730	411812.087
731	411522.7853
732	410929.3155
733	410782.4295
734	410376.113
735	409761.4402
736	409554.459
737	408779.142
738	408600.5827
739	408510.4464
740	407570.7256
741	407334.3137
742	407002.0047
743	406899.0971
744	406711.0063
745	406425.223
746	405852.4744
747	405719.4346
748	404985.9379
749	404968.9624
750	404540.0607
751	404525.454
752	404299.8257
753	404289.506
754	403542.0882
755	403316.2856
756	402885.9203
757	402555.1461
758	402192.729
759	401852.6623
760	401369.4702
761	401127.6476
762	400987.6248
763	400931.5266
764	400570.0001
765	400460.7806
766	400172.0176
767	400159.8656
768	399969.0222
769	399792.8968
770	399682.1374
771	399241.6611
772	398727.152
773	398338.1236
774	397725.2433
775	397714.3551
776	397333.7242
777	397318.3317
778	396932.5056
779	396261.1543
780	396022.6336
781	395999.8467
782	395908.5358
783	395648.3283
784	395137.3619
785	394868.8525
786	394588.738
787	393885.4844
788	393537.2872
789	393194.8921
790	393173.4454
791	392808.1037
792	392797.9368
793	392622.8337
794	392299.8722
795	392012.3759
796	391964.0101
797	391764.6896
798	391508.1374
799	391035.4214
800	390838.1928
801	390244.0034
802	389960.8618
803	389909.3615
804	389535.2045
805	389328.928
806	389047.2261
807	388778.7286
808	388554.5452
809	388326.6577
810	388207.4656
811	387723.9464
812	387461.7114
813	387162.682
814	386856.3507
815	386746.0062
816	386526.8001
817	386412.4624
818	386292.9222
819	385597.0981
820	385090.101
821	385077.5943
822	384862.5749
823	384848.6355
824	384451.2419
825	384129.3226
826	384014.5443
827	383898.0891
828	383783.0158
829	383775.1529
830	383648.9706
831	383375.1145
832	383105.9059
833	382887.2614
834	382600.4012
835	382579.7482
836	382171.5179
837	382019.619
838	381879.0129
839	381066.297
840	380802.609
841	380416.7159
842	379555.1358
843	379348.5863
844	378589.0446
845	378112.2409
846	378099.07
847	377887.7857
848	377794.5356
849	377399.9707
850	377206.7861
851	376836.7031
852	376627.0987
853	376295.2062
854	376009.8734
855	375725.7926
856	375368.7598
857	375259.5189
858	374992.9363
859	374581.8017
860	374106.0607
861	374098.0775
862	374086.6102
863	373803.0595
864	373537.4163
865	373431.6683
866	373258.3272
867	373165.4676
868	372994.4839
869	372404.0471
870	372392.8328
871	372030.2947
872	372016.2935
873	371796.144
874	371277.1468
875	371107.2057
876	371051.276
877	370863.6576
878	370779.2109
879	370760.4368
880	370741.5435
881	370418.6093
882	370182.5403
883	369932.718
884	369911.9989
885	369669.1886
886	369585.0888
887	369421.333
888	369410.2434
889	369398.3845
890	369057.8305
891	369034.8407
892	368577.0017
893	368476.4041
894	368192.3704
895	367925.7428
896	367320.8642
897	367226.1434
898	367088.3138
899	367074.1947
900	366973.9785
901	366295.2174
902	366216.2294
903	365998.4277
904	365690.732
905	365433.9941
906	364908.2543
907	364678.1821
908	364608.6294
909	364498.5709
910	364486.4775
911	364182.5657
912	363807.6809
913	363246.1607
914	363186.0748
915	362948.7929
916	362774.1097
917	362257.6732
918	361996.6702
919	361983.4635
920	361885.5513
921	361780.9708
922	361332.1739
923	360948.746
924	360425.2702
925	360236.9204
926	360228.1343
927	360002.0622
928	359821.5273
929	359667.7031
930	359260.7569
931	358906.7145
932	358871.1283
933	358605.6718
934	358544.1044
935	357845.281
936	357837.348
937	357653.9077
938	357489.3642
939	357335.1238
940	357154.8666
941	357096.8607
942	356879.3764
943	356671.8927
944	356629.6405
945	356042.2342
946	355934.3412
947	355839.846
948	355309.2572
949	355170.3038
950	355021.9793
951	354467.9305
952	354329.3427
953	354091.8271
954	353912.8297
955	353661.4112
956	353648.9741
957	353416.1583
958	352902.5862
959	352796.7015
960	352519.0261
961	352402.8061
962	352023.627
963	351476.664
964	351448.3588
965	351436.5423
966	351119.6907
967	351107.7368
968	351099.2554
969	351073.8118
970	350813.4381
971	350301.5108
972	350000.0366
973	349849.4922
974	349485.6437
975	349378.9317
976	349197.8871
977	348812.1583
978	348579.0667
979	348572.2757
980	348567.5859
981	348291.9718
982	347562.4505
983	347287.1371
984	347139.6381
985	346529.0654
986	346250.9312
987	346111.9145
988	346075.2237
989	345571.8176
990	345225.284
991	345213.9531
992	345025.4612
993	344867.613
994	344860.2839
995	344608.2968
996	344391.5752
997	344321.2013
998	344263.8867
999	343726.3731
